"_id";"_labels";"MGLT";"average_height";"average_lifespan";"birth_year";"cargo_capacity";"classification";"climate";"consumables";"cost_in_credits";"created";"crew";"designation";"diameter";"director";"edited";"episode_id";"eye_color";"eye_colors";"gender";"gravity";"hair_color";"hair_colors";"height";"hyperdrive_rating";"language";"length";"manufacturer";"mass";"max_atmosphering_speed";"model";"name";"opening_crawl";"orbital_period";"passengers";"population";"producer";"release_date";"rotation_period";"skin_color";"skin_colors";"starship_class";"surface_water";"terrain";"title";"url";"vehicle_class";"_start";"_end";"_type"
"47939";":Film";"";"";"";"";"";"";"";"";"";"2014-12-10T14:23:31.880000Z";"";"";"";"George Lucas";"2015-04-11T09:46:52.774897Z";"4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"It is a period of civil war.
Rebel spaceships; striking
from a hidden base; have won
their first victory against
the evil Galactic Empire.

During the battle; Rebel
spies managed to steal secret
plans to the Empire
ultimate weapon; the DEATH
STAR; an armored space
station with enough power
to destroy an entire planet.

Pursued by the Empire
sinister agents; Princess
Leia races home aboard her
starship; custodian of the
stolen plans that can save her
people and restore
freedom to the galaxy....";"";"";"";"Gary Kurtz; Rick McCallum";"1977-05-25";"";"";"";"";"";"";"A New Hope";"http://swapi.co/api/films/1/";"";;;
"47940";":Film";"";"";"";"";"";"";"";"";"";"2014-12-20T10:57:57.886000Z";"";"";"";"George Lucas";"2015-04-11T09:45:01.623982Z";"2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"There is unrest in the Galactic
Senate. Several thousand solar
systems have declared their
intentions to leave the Republic.

This separatist movement;
under the leadership of the
mysterious Count Dooku; has
made it difficult for the limited
number of Jedi Knights to maintain 
peace and order in the galaxy.

Senator Amidala; the former
Queen of Naboo; is returning
to the Galactic Senate to vote
on the critical issue of creating
an ARMY OF THE REPUBLIC
to assist the overwhelmed
Jedi....";"";"";"";"Rick McCallum";"2002-05-16";"";"";"";"";"";"";"Attack of the Clones";"http://swapi.co/api/films/5/";"";;;
"47941";":Film";"";"";"";"";"";"";"";"";"";"2014-12-19T16:52:55.740000Z";"";"";"";"George Lucas";"2015-04-11T09:45:18.689301Z";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Turmoil has engulfed the
Galactic Republic. The taxation
of trade routes to outlying star
systems is in dispute.

Hoping to resolve the matter
with a blockade of deadly
battleships; the greedy Trade
Federation has stopped all
shipping to the small planet
of Naboo.

While the Congress of the
Republic endlessly debates
this alarming chain of events;
the Supreme Chancellor has
secretly dispatched two Jedi
Knights; the guardians of
peace and justice in the
galaxy; to settle the conflict....";"";"";"";"Rick McCallum";"1999-05-19";"";"";"";"";"";"";"The Phantom Menace";"http://swapi.co/api/films/4/";"";;;
"47942";":Film";"";"";"";"";"";"";"";"";"";"2014-12-20T18:49:38.403000Z";"";"";"";"George Lucas";"2015-04-11T09:45:44.862122Z";"3";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"War! The Republic is crumbling
under attacks by the ruthless
Sith Lord; Count Dooku.
There are heroes on both sides.
Evil is everywhere.

In a stunning move; the
fiendish droid leader; General
Grievous; has swept into the
Republic capital and kidnapped
Chancellor Palpatine; leader of
the Galactic Senate.

As the Separatist Droid Army
attempts to flee the besieged
capital with their valuable
hostage; two Jedi Knights lead a
desperate mission to rescue the
captive Chancellor....";"";"";"";"Rick McCallum";"2005-05-19";"";"";"";"";"";"";"Revenge of the Sith";"http://swapi.co/api/films/6/";"";;;
"47943";":Film";"";"";"";"";"";"";"";"";"";"2014-12-18T10:39:33.255000Z";"";"";"";"Richard Marquand";"2015-04-11T09:46:05.220365Z";"6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Luke Skywalker has returned to
his home planet of Tatooine in
an attempt to rescue his
friend Han Solo from the
clutches of the vile gangster
Jabba the Hutt.

Little does Luke know that the
GALACTIC EMPIRE has secretly
begun construction on a new
armored space station even
more powerful than the first
dreaded Death Star.

When completed; this ultimate
weapon will spell certain doom
for the small band of rebels
struggling to restore freedom
to the galaxy...";"";"";"";"Howard G. Kazanjian; George Lucas; Rick McCallum";"1983-05-25";"";"";"";"";"";"";"Return of the Jedi";"http://swapi.co/api/films/3/";"";;;
"47944";":Film";"";"";"";"";"";"";"";"";"";"2014-12-12T11:26:24.656000Z";"";"";"";"Irvin Kershner";"2015-04-11T09:46:31.433607Z";"5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"It is a dark time for the
Rebellion. Although the Death
Star has been destroyed;
Imperial troops have driven the
Rebel forces from their hidden
base and pursued them across
the galaxy.

Evading the dreaded Imperial
Starfleet; a group of freedom
fighters led by Luke Skywalker
has established a new secret
base on the remote ice world
of Hoth.

The evil lord Darth Vader;
obsessed with finding young
Skywalker; has dispatched
thousands of remote probes into
the far reaches of space....";"";"";"";"Gary Kutz; Rick McCallum";"1980-05-17";"";"";"";"";"";"";"The Empire Strikes Back";"http://swapi.co/api/films/2/";"";;;
"47945";":Film";"";"";"";"";"";"";"";"";"";"2015-04-17T06:51:30.504780Z";"";"";"";"J. J. Abrams";"2015-12-17T14:31:47.617768Z";"7";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Luke Skywalker has vanished.
In his absence; the sinister
FIRST ORDER has risen from
the ashes of the Empire
and will not rest until
Skywalker; the last Jedi;
has been destroyed.
 
With the support of the
REPUBLIC; General Leia Organa
leads a brave RESISTANCE.
She is desperate to find her
brother Luke and gain his
help in restoring peace and
justice to the galaxy.
 
Leia has sent her most daring
pilot on a secret mission
to Jakku; where an old ally
has discovered a clue to
Luke whereabouts....";"";"";"";"Kathleen Kennedy; J. J. Abrams; Bryan Burk";"2015-12-11";"";"";"";"";"";"";"The Force Awakens";"http://swapi.co/api/films/7/";"";;;
"47946";":Character";"";"";"";"19BBY";"";"";"";"";"";"2014-12-09T13:50:51.644000Z";"";"";"";"";"2014-12-20T21:17:56.891000Z";"";"blue";"";"male";"";"blond";"";"172";"";"";"";"";"77";"";"";"Luke Skywalker";"";"";"";"";"";"";"";"fair";"";"";"";"";"";"http://swapi.co/api/people/1/";"";;;
"47947";":Character";"";"";"";"112BBY";"";"";"";"";"";"2014-12-10T15:10:51.357000Z";"";"";"";"";"2014-12-20T21:17:50.309000Z";"";"yellow";"";"n/a";"";"n/a";"";"167";"";"";"";"";"75";"";"";"C-3PO";"";"";"";"";"";"";"";"gold";"";"";"";"";"";"http://swapi.co/api/people/2/";"";;;
"47948";":Character";"";"";"";"33BBY";"";"";"";"";"";"2014-12-10T15:11:50.376000Z";"";"";"";"";"2014-12-20T21:17:50.311000Z";"";"red";"";"n/a";"";"n/a";"";"96";"";"";"";"";"32";"";"";"R2-D2";"";"";"";"";"";"";"";"white; blue";"";"";"";"";"";"http://swapi.co/api/people/3/";"";;;
